date,Thực tế,Mô hình tham chiếu (Naive) - Dự báo,Mô hình tham chiếu (Naive) - Sai số,Mô hình tham chiếu (Naive) - Sai số tuyệt đối,Tham chiếu mùa vụ 7 ngày - Dự báo,Tham chiếu mùa vụ 7 ngày - Sai số,Tham chiếu mùa vụ 7 ngày - Sai số tuyệt đối,ARIMA - Dự báo,ARIMA - Sai số,ARIMA - Sai số tuyệt đối,Random Forest - Dự báo,Random Forest - Sai số,Random Forest - Sai số tuyệt đối
2025-02-27,84.5625,40.5833,-43.9792,43.9792,61.1733,-23.3892,23.3892,44.7378,-39.8247,39.8247,57.2258,-27.3367,27.3367
2025-02-28,59.7567,84.5625,24.8058,24.8058,57.375,-2.3817,2.3817,83.9452,24.1885,24.1885,76.8297,17.073,17.073
2025-03-01,50.4167,59.7567,9.34,9.34,66.4512,16.0346,16.0346,55.4758,5.0592,5.0592,59.06,8.6433,8.6433
2025-03-02,35.875,50.4167,14.5417,14.5417,34.7638,-1.1112,1.1112,54.7087,18.8337,18.8337,53.3506,17.4756,17.4756
2025-03-03,40.2083,35.875,-4.3333,4.3333,31.7429,-8.4654,8.4654,41.5126,1.3043,1.3043,43.9476,3.7393,3.7393
2025-03-04,45.125,40.2083,-4.9167,4.9167,42.9238,-2.2012,2.2012,46.5899,1.4649,1.4649,47.1881,2.0631,2.0631
2025-03-05,48.2154,45.125,-3.0904,3.0904,40.5833,-7.6321,7.6321,48.8451,0.6297,0.6297,47.9291,-0.2863,0.2863
2025-03-06,39.8542,48.2154,8.3613,8.3613,84.5625,44.7083,44.7083,50.9347,11.0806,11.0806,50.7429,10.8887,10.8887
2025-03-07,36.0696,39.8542,3.7846,3.7846,59.7567,23.6871,23.6871,43.4774,7.4078,7.4078,54.3245,18.255,18.255
2025-03-08,69.8679,36.0696,-33.7983,33.7983,50.4167,-19.4512,19.4512,41.574,-28.2939,28.2939,59.8848,-9.9832,9.9832
2025-03-09,107.2779,69.8679,-37.41,37.41,35.875,-71.4029,71.4029,70.5702,-36.7078,36.7078,72.4512,-34.8268,34.8268
2025-03-10,97.5279,107.2779,9.75,9.75,40.2083,-57.3196,57.3196,97.4803,-0.0476,0.0476,89.9286,-7.5993,7.5993
2025-03-11,64.4583,97.5279,33.0696,33.0696,45.125,-19.3333,19.3333,86.0559,21.5976,21.5976,88.1175,23.6592,23.6592
2025-03-12,37.7708,64.4583,26.6875,26.6875,48.2154,10.4446,10.4446,62.1235,24.3526,24.3526,63.3163,25.5454,25.5454
2025-03-13,34.3679,37.7708,3.4029,3.4029,39.8542,5.4862,5.4862,43.4949,9.1269,9.1269,53.6078,19.2399,19.2399
2025-03-14,44.4792,34.3679,-10.1112,10.1112,36.0696,-8.4096,8.4096,42.1214,-2.3578,2.3578,46.7813,2.3022,2.3022
2025-03-15,37.6458,44.4792,6.8333,6.8333,69.8679,32.2221,32.2221,49.1849,11.5391,11.5391,48.1497,10.5039,10.5039
2025-03-16,25.0483,37.6458,12.5975,12.5975,107.2779,82.2296,82.2296,41.1799,16.1316,16.1316,44.8923,19.844,19.844
2025-03-17,52.7292,25.0483,-27.6808,27.6808,97.5279,44.7988,44.7988,31.9274,-20.8018,20.8018,45.0391,-7.6901,7.6901
2025-03-18,54.7779,52.7292,-2.0488,2.0488,64.4583,9.6804,9.6804,57.2354,2.4575,2.4575,65.1351,10.3572,10.3572
2025-03-19,47.4725,54.7779,7.3054,7.3054,37.7708,-9.7017,9.7017,53.4449,5.9724,5.9724,61.9251,14.4526,14.4526
2025-03-20,110.4579,47.4725,-62.9854,62.9854,34.3679,-76.09,76.09,48.8827,-61.5752,61.5752,62.2704,-48.1875,48.1875
2025-03-21,136.9863,110.4579,-26.5283,26.5283,44.4792,-92.5071,92.5071,104.8043,-32.1819,32.1819,99.3044,-37.6819,37.6819
