date,PM2.5,AQI,CO,NO2,O3,PM10,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2022-02-15,93.875,175.91666666666666,387.42083333333335,25.974999999999998,50.82083333333333,132.69583333333333,60.333333333333336,93.70833333333333,0.3645833333333333,1015.2083333333334,84.04166666666667,16.9375,0.7000000000000001,1.62
2022-02-16,96.91666666666667,202.66666666666666,390.6666666666667,26.650000000000002,47.17916666666667,136.69166666666666,60.083333333333336,78.04166666666667,0.4270833333333333,1011.4166666666666,92.04166666666667,16.779166666666665,0.7000000000000001,1.1379166666666667
2022-02-17,83.66666666666667,182.25,297.15833333333336,23.349999999999998,46.90416666666667,118.25,46.09583333333333,87.08333333333333,0.10416666666666667,1008.5416666666666,90.66666666666667,18.970833333333335,0.725,1.325
2022-02-18,54.166666666666664,137.33333333333334,199.67916666666667,16.2625,48.375,76.875,34.725,84.625,0.020833333333333332,1008.75,93.0,21.116666666666667,0.7083333333333334,2.485
2022-02-19,25.972083333333334,80.29166666666667,209.65,9.875,54.69583333333333,36.52916666666667,27.59583333333333,79.54166666666667,0.6458333333333334,1015.2916666666666,86.08333333333333,13.729166666666666,0.7125,3.9983333333333335
2022-02-20,29.916666666666668,88.83333333333333,182.7458333333333,7.3875,70.56666666666666,42.05416666666667,32.07083333333333,73.66666666666667,0.8854166666666666,1021.5,83.79166666666667,9.195833333333333,0.725,3.49875
2022-02-21,35.80583333333333,102.20833333333333,191.6,7.1125,76.45833333333333,50.27916666666667,37.75,74.375,0.010416666666666666,1022.5,66.625,11.154166666666667,0.7291666666666666,2.5595833333333333
2022-02-22,26.76375,81.91666666666667,159.10833333333332,6.6375,73.94583333333334,37.40416666666667,32.81666666666667,99.625,0.020833333333333332,1023.5833333333334,64.125,11.979166666666666,0.8291666666666666,3.23375
2022-02-23,35.75,101.54166666666667,148.09166666666667,8.558333333333334,84.19583333333334,50.15,29.349999999999998,62.541666666666664,0.19791666666666666,1025.5416666666667,51.958333333333336,13.970833333333333,1.6583333333333332,2.4499999999999997
2022-02-24,61.986250000000005,123.75,223.35833333333335,15.691666666666668,79.08333333333333,87.20833333333333,43.31666666666666,67.375,0.20833333333333334,1025.2916666666667,56.583333333333336,14.929166666666667,1.9458333333333335,2.24875
2022-02-25,117.44416666666666,175.875,490.02500000000003,35.166666666666664,63.875,159.5875,66.75,36.291666666666664,0.15625,1022.5833333333334,70.54166666666667,15.137500000000001,1.1333333333333333,2.74875
2022-02-26,83.625,185.95833333333334,507.0291666666667,32.65416666666667,65.60833333333333,104.55416666666667,57.291666666666664,74.20833333333333,0.0,1020.9166666666666,75.125,16.120833333333334,1.3375000000000001,1.9820833333333334
2022-02-27,124.0,214.54166666666666,615.5458333333333,36.59583333333333,73.10000000000001,155.025,64.29166666666667,87.375,0.0,1017.6666666666666,75.125,18.833333333333332,0.9375,1.9375
2022-02-28,85.83333333333333,190.16666666666666,381.72499999999997,28.695833333333336,72.55416666666666,107.325,46.76666666666667,82.125,1.0104166666666667,1014.625,77.375,19.991666666666667,1.0374999999999999,2.484166666666667
2022-03-01,75.625,173.70833333333334,354.25,27.34583333333333,50.02916666666667,94.55,45.44166666666666,92.08333333333333,0.3229166666666667,1015.2083333333334,81.125,20.849999999999998,0.775,1.9504166666666667
2022-03-02,74.83333333333333,172.08333333333334,460.6458333333333,24.058333333333334,61.59583333333333,93.57916666666667,41.975,88.75,0.5729166666666666,1015.4583333333334,79.83333333333333,22.25,1.3458333333333332,2.4225
2022-03-03,63.666666666666664,146.95833333333334,351.4458333333334,21.858333333333334,57.112500000000004,79.6125,13.583333333333334,88.20833333333333,0.3125,1013.0416666666666,80.41666666666667,22.004166666666666,0.8624999999999999,2.7616666666666667
2022-03-04,32.75,95.41666666666667,180.09583333333333,16.195833333333333,46.19166666666666,40.96666666666666,17.375,77.54166666666667,0.041666666666666664,1011.375,87.70833333333333,21.47083333333333,0.7999999999999999,2.6374999999999997
2022-03-05,27.541666666666668,83.79166666666667,247.32500000000002,20.583333333333332,40.40416666666667,34.449999999999996,26.358333333333334,84.20833333333333,0.0,1010.4583333333334,91.0,21.554166666666664,0.7999999999999999,2.4208333333333334
2022-03-06,24.125,76.125,225.13750000000002,21.041666666666668,29.208333333333332,30.1875,22.90416666666667,82.70833333333333,0.09375,1010.2083333333334,91.29166666666667,22.27916666666667,0.8250000000000001,2.3595833333333336
2022-03-07,43.916666666666664,115.125,337.41249999999997,20.7625,58.25,54.912499999999994,49.57083333333333,71.54166666666667,0.28125,1016.4583333333334,73.54166666666667,21.508333333333336,1.6375,2.45
2022-03-08,60.458333333333336,145.45833333333334,591.725,21.558333333333334,81.625,75.59583333333333,64.125,35.875,0.041666666666666664,1014.625,64.25,20.691666666666666,2.3333333333333335,2.942083333333333
2022-03-09,33.25,96.75,249.23333333333335,17.108333333333334,91.66666666666667,41.583333333333336,40.733333333333334,76.41666666666667,0.40625,1012.5,77.16666666666667,19.983333333333334,0.9125,2.8095833333333338
2022-03-10,28.208333333333332,85.5,206.73749999999998,18.070833333333333,73.34583333333333,35.2875,41.141666666666666,87.25,0.0,1012.4166666666666,83.79166666666667,20.791666666666668,0.9208333333333334,2.1374999999999997
2022-03-11,24.5,76.79166666666667,253.95000000000002,22.166666666666668,59.237500000000004,30.650000000000002,43.19166666666666,100.0,0.03125,1011.0416666666666,78.66666666666667,22.041666666666668,0.9500000000000001,2.2354166666666666
2022-03-12,26.291666666666668,80.95833333333333,194.5041666666667,16.095833333333335,58.208333333333336,32.88333333333333,17.0,87.95833333333333,0.13541666666666666,1009.6666666666666,80.25,22.7,0.9083333333333333,2.997916666666667
2022-03-13,24.125,76.33333333333333,224.54999999999998,20.9875,48.65416666666667,30.179166666666664,31.599999999999998,93.0,0.16666666666666666,1009.7916666666666,84.04166666666667,22.825,0.8791666666666668,2.637916666666667
2022-03-14,26.291666666666668,80.875,250.86249999999998,21.625,43.60833333333333,32.887499999999996,23.804166666666664,98.29166666666667,0.07291666666666667,1009.7916666666666,81.54166666666667,23.537499999999998,0.875,2.85875
2022-03-15,59.375,149.5,467.21250000000003,26.7625,48.85,74.24583333333332,57.44583333333333,96.66666666666667,0.13541666666666666,1008.9166666666666,75.54166666666667,24.866666666666664,0.9041666666666667,1.6995833333333332
2022-03-16,34.416666666666664,99.33333333333333,337.72499999999997,26.5,33.42916666666667,43.041666666666664,45.333333333333336,89.95833333333333,0.71875,1007.2916666666666,86.04166666666667,23.625,1.0374999999999999,2.73375
2022-03-17,28.583333333333332,86.41666666666667,145.07500000000002,13.529166666666667,47.166666666666664,35.75833333333333,25.441666666666666,86.08333333333333,0.07291666666666667,1006.5,87.04166666666667,23.933333333333334,0.9583333333333334,2.22
2022-03-18,38.958333333333336,111.70833333333333,197.05416666666667,18.0,41.80416666666667,48.7125,19.279166666666665,88.29166666666667,0.0625,1007.2083333333334,82.08333333333333,24.933333333333334,0.9625,2.1591666666666667
2022-03-19,29.75,89.04166666666667,200.35416666666666,14.029166666666667,49.26666666666667,37.22083333333333,15.679166666666667,86.25,0.0,1005.4583333333334,86.08333333333333,24.304166666666664,1.1958333333333333,2.5124999999999997
2022-03-20,33.444583333333334,97.95833333333333,122.8125,9.5,59.0,44.1,21.9875,91.29166666666667,0.13541666666666666,1005.4166666666666,83.91666666666667,25.708333333333332,1.2333333333333334,3.5254166666666666
2022-03-21,34.5,100.54166666666667,117.47500000000001,9.691666666666666,54.67916666666667,43.15416666666667,22.3625,69.16666666666667,0.14583333333333334,1006.3333333333334,85.33333333333333,25.920833333333334,1.3166666666666667,2.8325
2022-03-22,46.819583333333334,128.08333333333334,139.95416666666668,11.975,54.02916666666667,63.8125,27.208333333333332,78.375,0.1875,1007.75,80.58333333333333,27.1375,1.6041666666666667,2.3866666666666667
2022-03-23,33.930416666666666,98.875,194.6916666666667,10.441666666666666,59.012499999999996,47.67916666666667,26.275000000000002,88.66666666666667,0.4583333333333333,1012.125,77.41666666666667,20.4875,0.9166666666666666,3.546666666666667
2022-03-24,46.361250000000005,124.0,219.40833333333333,14.070833333333333,57.40416666666667,65.2375,34.362500000000004,94.875,0.07291666666666667,1009.7083333333334,85.79166666666667,19.2375,0.9666666666666667,1.8470833333333332
2022-03-25,68.1525,165.29166666666666,229.22916666666666,18.4875,59.34583333333333,96.29166666666667,31.7375,84.20833333333333,0.15625,1006.1666666666666,85.0,23.145833333333332,1.5291666666666666,1.4254166666666668
2022-03-26,98.34750000000001,201.70833333333334,259.43333333333334,16.958333333333332,86.27916666666665,138.66666666666666,34.69166666666667,72.91666666666667,0.0625,1006.125,79.125,26.945833333333336,2.529166666666667,1.8862500000000002
2022-03-27,43.72208333333333,116.70833333333333,197.90833333333333,8.25,87.35833333333333,58.525,31.291666666666668,87.66666666666667,0.5416666666666666,1011.3333333333334,76.41666666666667,23.400000000000002,0.9791666666666666,2.975
2022-03-28,43.75,119.83333333333333,177.67916666666667,8.25,100.10000000000001,59.137499999999996,24.433333333333334,88.125,0.6354166666666666,1015.5416666666666,71.54166666666667,19.870833333333334,1.45,1.3954166666666667
2022-03-29,74.90291666666667,175.125,254.7125,18.233333333333334,63.97083333333333,104.14999999999999,36.17916666666667,89.08333333333333,0.46875,1013.4583333333334,78.125,20.787499999999998,1.1500000000000001,1.8670833333333334
2022-03-30,53.958333333333336,135.08333333333334,190.52499999999998,15.570833333333333,58.5,76.05833333333334,31.304166666666664,79.54166666666667,0.052083333333333336,1012.2916666666666,88.70833333333333,22.441666666666666,0.9958333333333335,2.061666666666667
2022-03-31,52.166666666666664,136.16666666666666,169.85416666666666,14.958333333333334,65.57083333333334,73.60833333333333,31.541666666666668,84.08333333333333,0.14583333333333334,1013.5833333333334,83.33333333333333,24.59166666666667,1.2958333333333334,2.03375
2022-04-01,30.235833333333332,90.25,175.90833333333333,6.583333333333333,84.69166666666666,41.891666666666666,22.4875,82.70833333333333,0.25,1019.9583333333334,86.0,18.445833333333333,0.9833333333333334,3.1366666666666667
2022-04-02,44.819583333333334,122.79166666666667,143.13333333333333,7.404166666666666,85.95833333333333,61.791666666666664,23.070833333333336,95.83333333333333,0.2708333333333333,1023.7916666666666,49.958333333333336,19.808333333333334,1.2333333333333332,2.8312500000000003
2022-04-03,52.25,132.75,191.65833333333333,17.166666666666668,79.45833333333333,73.02499999999999,38.983333333333334,63.666666666666664,0.020833333333333332,1021.2916666666666,52.875,20.412499999999998,2.441666666666667,1.81125
2022-04-04,91.61125,154.08333333333334,347.79583333333335,24.400000000000002,85.69583333333333,128.73749999999998,54.30833333333334,61.833333333333336,0.0,1020.0,53.625,21.4375,3.158333333333333,1.8925
2022-04-05,115.40249999999999,189.04166666666666,346.69166666666666,35.19583333333333,86.41666666666667,162.15416666666667,51.19166666666666,33.041666666666664,0.041666666666666664,1018.625,62.5,21.84166666666667,2.8375,1.3508333333333333
2022-04-06,165.66666666666666,212.83333333333334,548.8083333333333,31.15416666666667,69.33333333333333,232.0666666666667,60.225,87.625,0.020833333333333332,1016.625,66.41666666666667,23.90416666666667,2.9250000000000003,1.9649999999999999
2022-04-07,182.25,214.45833333333334,629.5625,35.69166666666667,74.04166666666667,254.57083333333333,60.041666666666664,51.916666666666664,0.0,1015.0,57.875,26.375,2.9749999999999996,1.20625
2022-04-08,194.55583333333334,269.5833333333333,775.3666666666667,26.2375,115.6125,271.22083333333336,55.05416666666667,32.041666666666664,0.0,1013.5,59.5,24.954166666666666,3.1166666666666667,1.2966666666666666
2022-04-09,98.15249999999999,182.79166666666666,348.0625,30.84583333333333,108.58333333333333,137.35,28.583333333333332,11.291666666666666,0.0,1010.75,67.5,24.775000000000002,3.2375000000000003,2.734583333333333
2022-04-10,106.38916666666667,164.25,360.8125,33.32083333333333,86.84583333333335,149.01250000000002,36.15416666666667,42.125,0.0,1009.4583333333334,71.25,24.641666666666666,2.1333333333333333,2.124166666666667
2022-04-11,66.54166666666667,158.25,200.9125,17.029166666666665,68.45833333333333,93.42916666666667,21.804166666666664,95.0,0.0,1008.7916666666666,87.70833333333333,23.483333333333334,1.0999999999999999,2.247916666666667
